,Date,Time,MMSI,Lon,Lat,COG,SOG,VesselName,VesselType,DimA,DimB,DimC,DimD,Destination
389,2024-02-24,09:32:22,441984000.0,126.3048104678157,37.064745749732985,55.3,5.81272,DING HENG 3,CHEMICAL_TANKER,92.0,23.0,9.0,9.0,NINGBO
390,2024-02-24,09:32:20,477097100.0,126.84670667,36.95044667,32.5,0.0,KMTC DUBAI,CONTAINER,95.0,22.0,10.0,10.0,CNZOS
391,2024-02-24,09:32:22,477143800.0,126.31333254382712,37.08063277124599,235.0,7.304479999999999,GLORIOUS SAKURA,ETC,96.0,21.0,13.0,7.0,ID KUM
392,2024-02-24,09:32:21,477217100.0,126.13811667,37.01743333,184.0,0.0,PYXIS KARTERIA,PRODUCT_TANKER,75.0,23.0,4.0,12.0,KRUSN
393,2024-02-24,09:32:21,477454300.0,126.72473167,36.990855,122.3,0.0,OCEAN LORD,BULK,158.0,27.0,7.0,21.0,CN LYG
394,2024-02-24,09:32:18,477548900.0,125.36632385045388,36.78511599909807,263.6,5.967039999999999,WAN HAI 277,CONTAINER,130.0,42.0,14.0,14.0,KR INC
395,2024-02-24,09:32:21,477833200.0,126.75863333,36.98430167,83.5,0.0,CSBC NO.12,TUG,171.0,29.0,19.0,13.0,KHH
396,2024-02-24,09:32:25,477858900.0,126.403735,37.32260833,194.2,0.0,ZHE NENG 2,BULK,147.0,33.0,19.0,13.0,YUE QING
397,2024-02-24,09:32:21,538003357.0,126.78254833,36.99845833,186.1,0.0,DD VIGILANT,BULK,290.0,55.0,35.0,19.0,CN GZG
398,2024-02-24,09:32:22,538004739.0,126.20556833,37.07118,187.3,0.0,XING TONG 16,CHEMICAL_TANKER,161.0,29.0,8.0,24.0,NING BO
399,2024-02-24,09:32:22,538005907.0,126.22020505136705,37.06407796636604,177.4,0.30863999999999997,JIAN YANG HONG,BULK,142.0,30.0,15.0,18.0,CN ZHOUSHAN
400,2024-02-24,09:32:22,538006065.0,126.19683167,37.04845667,153.9,0.0,MARAN EXPLORER,BULK,200.0,29.0,13.0,20.0,CN ZOS
